Date,Age,Volume
11/06/2020,Aged1to4,161
11/06/2020,Aged5to14,320
11/06/2020,Aged15to24,1865
11/06/2020,Aged25to34,4218
11/06/2020,Aged35to44,4432
11/06/2020,Aged45to54,4525
11/06/2020,Aged55to64,3222
12/06/2020,Aged1to4,162
12/06/2020,Aged5to14,320
12/06/2020,Aged15to24,1866
12/06/2020,Aged25to34,4220
12/06/2020,Aged35to44,4433
12/06/2020,Aged45to54,4526
12/06/2020,Aged55to64,3222
13/06/2020,Aged1to4,164
13/06/2020,Aged5to14,320
13/06/2020,Aged15to24,1867
13/06/2020,Aged25to34,4222
13/06/2020,Aged35to44,4433
13/06/2020,Aged45to54,4527
13/06/2020,Aged55to64,3222
14/06/2020,Aged1to4,166
14/06/2020,Aged5to14,323
14/06/2020,Aged15to24,1871
14/06/2020,Aged25to34,4230
14/06/2020,Aged35to44,4442
14/06/2020,Aged45to54,4535
14/06/2020,Aged55to64,3226
15/06/2020,Aged1to4,166
15/06/2020,Aged5to14,323
15/06/2020,Aged15to24,1873
15/06/2020,Aged25to34,4232
15/06/2020,Aged35to44,4442
15/06/2020,Aged45to54,4536
15/06/2020,Aged55to64,3226
16/06/2020,Aged1to4,168
16/06/2020,Aged5to14,324
16/06/2020,Aged15to24,1874
16/06/2020,Aged25to34,4233
16/06/2020,Aged35to44,4445
16/06/2020,Aged45to54,4540
16/06/2020,Aged55to64,3229
17/06/2020,Aged1to4,169
17/06/2020,Aged5to14,325
17/06/2020,Aged15to24,1874
17/06/2020,Aged25to34,4234
17/06/2020,Aged35to44,4448
17/06/2020,Aged45to54,4544
17/06/2020,Aged55to64,3229
18/06/2020,Aged1to4,169
18/06/2020,Aged5to14,325
18/06/2020,Aged15to24,1875
18/06/2020,Aged25to34,4236
18/06/2020,Aged35to44,4449
18/06/2020,Aged45to54,4545
18/06/2020,Aged55to64,3230
19/06/2020,Aged1to4,169
19/06/2020,Aged5to14,326
19/06/2020,Aged15to24,1877
19/06/2020,Aged25to34,4240
19/06/2020,Aged35to44,4452
19/06/2020,Aged45to54,4548
19/06/2020,Aged55to64,3231
20/06/2020,Aged1to4,169
20/06/2020,Aged5to14,327
20/06/2020,Aged15to24,1878
20/06/2020,Aged25to34,4243
20/06/2020,Aged35to44,4454
20/06/2020,Aged45to54,4550
20/06/2020,Aged55to64,3231
21/06/2020,Aged1to4,169
21/06/2020,Aged5to14,327
21/06/2020,Aged15to24,1883
21/06/2020,Aged25to34,4247
21/06/2020,Aged35to44,4457
21/06/2020,Aged45to54,4553
21/06/2020,Aged55to64,3234
22/06/2020,Aged1to4,169
22/06/2020,Aged5to14,327
22/06/2020,Aged15to24,1883
22/06/2020,Aged25to34,4248
22/06/2020,Aged35to44,4459
22/06/2020,Aged45to54,4553
22/06/2020,Aged55to64,3234
23/06/2020,Aged1to4,169
23/06/2020,Aged5to14,327
23/06/2020,Aged15to24,1884
23/06/2020,Aged25to34,4249
23/06/2020,Aged35to44,4459
23/06/2020,Aged45to54,4555
23/06/2020,Aged55to64,3234
24/06/2020,Aged1to4,169
24/06/2020,Aged5to14,328
24/06/2020,Aged15to24,1884
24/06/2020,Aged25to34,4250
24/06/2020,Aged35to44,4462
24/06/2020,Aged45to54,4555
24/06/2020,Aged55to64,3238
25/06/2020,Aged1to4,169
25/06/2020,Aged5to14,328
25/06/2020,Aged15to24,1884
25/06/2020,Aged25to34,4250
25/06/2020,Aged35to44,4463
25/06/2020,Aged45to54,4555
25/06/2020,Aged55to64,3239
26/06/2020,Aged1to4,169
26/06/2020,Aged5to14,328
26/06/2020,Aged15to24,1885
26/06/2020,Aged25to34,4251
26/06/2020,Aged35to44,4464
26/06/2020,Aged45to54,4555
26/06/2020,Aged55to64,3241
27/06/2020,Aged1to4,169
27/06/2020,Aged5to14,328
27/06/2020,Aged15to24,1887
27/06/2020,Aged25to34,4254
27/06/2020,Aged35to44,4468
27/06/2020,Aged45to54,4556
27/06/2020,Aged55to64,3241
28/06/2020,Aged1to4,169
28/06/2020,Aged5to14,328
28/06/2020,Aged15to24,1889
28/06/2020,Aged25to34,4262
28/06/2020,Aged35to44,4472
28/06/2020,Aged45to54,4560
28/06/2020,Aged55to64,3241
29/06/2020,Aged1to4,170
29/06/2020,Aged5to14,328
29/06/2020,Aged15to24,1891
29/06/2020,Aged25to34,4262
29/06/2020,Aged35to44,4472
29/06/2020,Aged45to54,4560
29/06/2020,Aged55to64,3241
30/06/2020,Aged1to4,171
30/06/2020,Aged5to14,328
30/06/2020,Aged15to24,1894
30/06/2020,Aged25to34,4267
30/06/2020,Aged35to44,4475
30/06/2020,Aged45to54,4563
30/06/2020,Aged55to64,3243
01/07/2020,Aged1to4,171
01/07/2020,Aged5to14,329
01/07/2020,Aged15to24,1896
01/07/2020,Aged25to34,4271
01/07/2020,Aged35to44,4477
01/07/2020,Aged45to54,4564
01/07/2020,Aged55to64,3243
02/07/2020,Aged1to4,171
02/07/2020,Aged5to14,329
02/07/2020,Aged15to24,1896
02/07/2020,Aged25to34,4272
02/07/2020,Aged35to44,4478
